,REP,Nitro,Weed,HYB,Code,FDT,FDS,RTA,RLA,SDI,PHT,EHT,SDL,SDS,GWT,MST,TWT,YIELD,PROT,OIL,STR
231,4,N1,WPLUS,PHHB9*PHW30,UIUC3,1.83,1.694166667,103.9675,5.310833333,128.0833333,244,100,25.79,22.836,7.22572056,15.7,60.2,131.9958128,9.1,3.5,71.3
232,4,N1,WPLUS,PHHB9*PHR63,UIUC2,1.833333333,1.716666667,87.65916667,4.12,134.3333333,268,121,23.894,21.042,8.00136288,15.8,59.6,147.461181,7.9,3.4,72.4
233,4,N1,WPLUS,PHW52*LH185,UIUC7,1.903333333,1.73,101.0008333,1.655833333,93.08333333,240,115,21.26,19.19,11.07218072,16.2,56.9,212.7222055,7.3,3.4,72.8
234,4,N1,WPLUS,PHHB9*Q381,UIUC5,1.843333333,1.710833333,82.85666667,2.9975,166.8333333,198,77,23.796,21.712,1.5648924,13.3,53,33.39455175,9.9,3.9,70.3
235,4,N1,WPLUS,461.2B24,ORG2,1.865,1.71,92.37875,3.44625,105.875,224,102,21.776,19.36,7.04881968,15.4,57.2,135.9999172,10.2,4.2,69.1
236,4,N1,WPLUS,PHP38*Q381,UIUC6,1.936666667,1.758333333,73.62583333,-0.9375,93.66666667,230,115,21.918,19.252,6.58615584,15.9,58.7,123.0942613,7.3,3.6,72.6
237,4,N1,WPLUS,PHW52*Q381,UIUC8,1.91,1.7725,70.83875,-0.27,85.625,218,66,20.87,18.632,9.14441472,16,59.7,167.8451429,7.7,3.5,72.5
238,4,N1,WPLUS,17.461,ORG1,1.95,1.77125,52.91375,-0.71,86.875,260,152,23.752,20.234,8.391452,15.5,57.3,161.4310646,8.8,4.9,69.4
239,4,N1,WPLUS,PHHB9*PHM49,UIUC1,1.883333333,1.763333333,68.9975,0.935,122.3333333,235,104,22.234,20.702,9.60254264,17.5,61.3,168.5883761,7.1,3.3,73
240,4,N3,WPLUS,PHHB9*PHZ51,UIUC4,1.86,1.7075,87.415,2.093333333,120.75,285,141,24.082,21.514,9.67058144,15.3,59.2,180.493763,8.7,3.6,71.5
241,1,N2,WMINUS,PHHB9*PHZ51,UIUC4,1.866666667,1.7125,72.1575,0.1225,108.0833333,243,95,24.138,21.87,5.99648624,17.5,58,111.2681085,8.6,3.6,71.8
