"","Code","EFFECTS","EHT","FDS","FDT","PHT","RTA","GWT","MST","TWT","YIELD","PROT","SDL","STR","SDS","OIL","RLA"
"1","CHECK","N1WMINUS",119.6902247,1.946530816,1.905357315,268.6369793,94.50634716,6.979195286,23.95954397,58.70112855,123.1276096,8.148124318,23.16499885,72.40166733,20.90136848,3.869196148,55.19011632
"2","CHECK","N1WPLUS",120.5927599,1.956442788,1.915050537,264.1129618,89.09222106,6.150355188,24.69531943,58.76850721,106.6102405,8.438140565,22.16223053,72.4002881,19.83672093,3.835579779,56.48578745
"3","CHECK","N2WMINUS",120.8183937,1.941574829,1.885970869,262.4462185,98.68314577,7.795935529,24.64626773,59.21769826,137.1459471,8.57348148,23.72897005,72.39949997,21.27196335,3.842303052,50.15887201
"4","CHECK","N2WPLUS",121.2696613,1.944052823,1.895664092,265.0653865,94.17246514,6.806772346,24.96510376,59.59951066,118.5450774,8.670153562,22.67943339,72.3979237,20.4186199,3.862472874,51.67830307
"5","CHECK","N3WMINUS",125.7823371,1.931662857,1.878216291,278.6374389,101.159983,10.03844207,25.9951894,61.7556277,175.8965015,8.264130817,23.9985758,72.405608,21.73195611,3.795240135,52.44546583
"6","CHECK","N3WPLUS",119.6902247,1.939096836,1.884032225,271.7323596,94.54126293,8.827448205,26.26497373,60.20591857,153.1300795,8.186793151,22.95316576,72.40698723,20.68193731,3.741453944,48.9503753
"7","ORG1","N1WMINUS",118.712478333333,1.81003469966667,1.92043566133333,235.540220033333,77.69216256,6.74190367666667,19.4794889833333,54.23916412,128.381131166667,8.895721754,21.90326229,72.38853178,19.6581418866667,3.99245616933333,17.0459405383333
"8","ORG1","N1WPLUS",118.110788233333,1.81853559266667,1.92258971066667,232.6829459,72.70584553,6.236062498,18.9153944666667,53.7001348633333,119.597819096667,8.734601617,21.58624628,72.3904364333333,19.1887217133333,3.97676853,16.9964353136667
"9","ORG1","N2WMINUS",119.3141684,1.81750309533333,1.912788785,236.016432366667,76.71106588,7.28001113666667,19.0461989933333,54.5535978566667,138.8445233,9.037199383,22.14233106,72.3880105666667,19.9933026866667,3.993775223,17.0835538296667
"10","ORG1","N2WPLUS",123.601210466667,1.81739984566667,1.91548134733333,238.2387568,79.0082929933333,6.85584398233333,19.44678785,54.21670457,131.01769411,9.21424801033333,22.0707113,72.3878658566667,19.8401884866667,3.99240301,18.672154131
"11","ORG1","N3WMINUS",125.180646933333,1.811824361,1.90772676933333,241.096030966667,78.8340172466667,7.91390911933333,19.26693163,54.7632203466667,151.172379433333,9.25663086233333,22.7518784733333,72.3878093233333,20.26247159,3.94987543466667,18.262904343
"12","ORG1","N3WPLUS",117.809943156667,1.80962170033333,1.91009622366667,235.778326233333,78.8866636766667,7.55864391966667,19.4713137,55.0851405966667,142.6909316,9.11844552,22.6654028933333,72.3925836933333,20.4635897433333,3.92925582366667,15.2401942713333
"13","ORG2","N1WMINUS",109.649521095,1.7294999265,1.889525051,226.6112382,85.425247195,5.623507316,18.33086174,55.073910825,106.551499045,9.6465415925,22.156728375,72.381274385,19.639232875,3.980130167,1.2339481215
"14","ORG2","N1WPLUS",101.07543711,1.7266089345,1.892917679,220.4204775,80.066495325,5.4062140785,18.52706853,54.591030445,102.56280654,9.5498695105,21.79303572,72.380978835,19.46498827,4.0171081735,1.0429537735
"15","ORG2","N2WMINUS",105.13684529,1.747671875,1.88338601,228.3970346,82.892672055,6.014735975,18.894956255,55.062681045,114.2684385,9.9945610875,22.40294995,72.37644707,20.121331295,4.037277995,1.0588050045
"16","ORG2","N2WPLUS",104.9112115,1.737450154,1.8853246545,223.87301715,81.54014072,5.5630080385,17.59508629,54.83808552,106.7398911,9.8205513405,22.56127455,72.37881147,20.0428237,4.030554721,1.7061589095
"17","ORG2","N3WMINUS",110.77769005,1.7362491345,1.894975027,228.15892845,83.623150565,6.599562322,18.220495425,55.01776194,127.54831955,10.34258058,22.597038575,72.373688605,19.89003458,4.0372779955,0.9815197475
"18","ORG2","N3WPLUS",125.89515395,1.749117371,1.899379827,233.2782113,86.358834795,6.3479861605,18.563857305,54.71455798,122.06505795,10.1299020055,22.783974395,72.37437822,20.06444173,4.0608094535,0.4853542185
"19","ORG4","N1WMINUS",114.7262814,1.946530816,1.920866471,224.1111233,73.34084573,8.001633071,30.77772986,49.80714576,129.9080503,9.269520472,22.75921469,72.3943771,20.59904109,3.869196148,51.50734395
